ligar~|~57457~|~v~|~~|~dial or call with a telephone~|~
ligar~|~57457~|~v~|~~|~link~|~
ligar~|~57457~|~v~|~~|~join~|~
ligar~|~57457~|~v~|~~|~turn on~|~
jogar~|~55268~|~v~|~~|~to play~|~
jogar~|~55268~|~v~|~~|~to throw~|~
acabar~|~54418~|~v~|~~|~(catenative) (followed by de) indicates recency~|~
acabar~|~54418~|~v~|~~|~as in English just finish~|~
acabar~|~54418~|~v~|~~|~to destroy completely~|~
acabar~|~54418~|~v~|~~|~to defeat thoroughly~|~
acabar~|~54418~|~v~|~~|~to end up~|~
acabar~|~54418~|~v~|~~|~to finish~|~
acabar~|~54418~|~v~|~~|~to complete~|~
querer~|~54043~|~v~|~~|~to love~|~
querer~|~54043~|~v~|~~|~be fond of~|~
querer~|~54043~|~v~|~~|~have affection for~|~
querer~|~54043~|~v~|~~|~to want~|~
perguntar~|~53644~|~v~|~~|~to ask (request an answer)~|~
manter~|~52784~|~v~|~~|~to hold~|~
manter~|~52784~|~v~|~~|~sustain~|~
manter~|~52784~|~v~|~~|~support~|~
manter~|~52784~|~v~|~~|~to keep~|~
manter~|~52784~|~v~|~~|~maintain~|~
chamar~|~52383~|~v~|~~|~to call~|~
chamar~|~52383~|~v~|~~|~summons~|~
chamar~|~52383~|~v~|~~|~to invoke~|~
chamar~|~52383~|~v~|~~|~to name (give a name to)~|~
comprar~|~52098~|~v~|~~|~to buy~|~
brincando~|~52025~|~v~|~~|~gerund of brincar~|~
ganhar~|~51460~|~v~|~~|~to win~|~
casar~|~48697~|~v~|~~|~to marry~|~
casar~|~48697~|~v~|~~|~wed someone to (unite two others in wedlock)~|~
perfeito~|~46329~|~v~|~~|~past participle of perfazer~|~
entender~|~44898~|~v~|~~|~to understand~|~
partir~|~44363~|~v~|~~|~to divide~|~
partir~|~44363~|~v~|~~|~to split~|~
partir~|~44363~|~v~|~~|~to go away~|~
partir~|~44363~|~v~|~~|~to leave~|~
partir~|~44363~|~v~|~~|~to depart~|~
hey~|~42342~|~v~|~~|~obsolete spelling of hei~|~
conhecer~|~41491~|~v~|~~|~to know (be acquainted or familiar with)~|~
conhecer~|~41491~|~v~|~~|~to meet someone for the first time~|~
trazer~|~40735~|~v~|~~|~bring (to transport toward somebody/somewhere)~|~
salvar~|~40233~|~v~|~~|~to greet~|~
salvar~|~40233~|~v~|~~|~to save (to write a file to disk)~|~
salvar~|~40233~|~v~|~~|~to save (to redeem or protect someone from eternal damnation)~|~
salvar~|~40233~|~v~|~~|~to greet with a salvo~|~
salvar~|~40233~|~v~|~~|~to save (to help someone to survive; to make sure something isn’t destroyed)~|~
seguir~|~38961~|~v~|~~|~to follow (to go or come after in physical space)~|~
terminar~|~38465~|~v~|~~|~to end up~|~
terminar~|~38465~|~v~|~~|~to finish~|~
terminar~|~38465~|~v~|~~|~end~|~
terminar~|~38465~|~v~|~~|~terminate~|~
terminar~|~38465~|~v~|~~|~stop~|~
monte~|~36475~|~v~|~~|~first-person singular subjunctive present of montar~|~
monte~|~36475~|~v~|~~|~(that I) climb~|~
monte~|~36475~|~v~|~~|~third-person singular imperative of montar~|~
monte~|~36475~|~v~|~~|~(you) climb!~|~
monte~|~36475~|~v~|~~|~third-person singular subjunctive present of montar~|~
